,penguin,duck,bird,owl,butterfly,fish,frog,rooster,pig,alligator,bear,deer,elephant,giraffe,zebra,pony,horse,dog,cat,toe,foot,ankle,finger,hand,arm,leg,hair,ear,eye,face,nose,mouth,tooth,shower,bathtub,sink,refrigerator,oven,couch,bed,closet,drawer,door,window,stroller,crib,bench,table,chair,lamp,car,motorcycle,tricycle,boat,helicopter,firetruck,truck,snow,tree,grass,sprinkler,hose,slide,swing,ladder,chips,cracker,cookie,muffin,pastry,bread,toast,sandwich,hamburger,meat,pasta,pizza,sauce,soup,applesauce,raisin,pickle,milk,egg,corn,carrot,potato,banana,orange,strawberry,melon,apple,pumpkin,flower,plant,glasses,book,pen,pencil,crayon,spoon,fork,knife,scissors,toothbrush,comb,vacuum,mop,broom,shovel,nail,stick,rock,coffee,cup,bowl,dish,plate,glass,jar,bottle,bucket,can,basket,tray,box,paper,napkin,towel,blanket,pillow,gum,soap,tape,ball,balloon,dress,pajamas,shirt,jacket,coat,sweater,scarf,pants,shorts,jeans,glove,mitten,sock,slipper,shoe,toy,doll,necklace,bib,purse,belt,hat,watch,clock,radio,game,cloud
penguin,1.0000002,0.3755947,0.44664425,0.41476572,0.26840287,0.3685107,0.29602662,0.2734679,0.19127679,0.244369,0.35587066,0.30057448,0.38619876,0.49497047,0.45172447,0.19975156,0.16867925,0.22700419,0.22970691,-0.04540421,-0.072576866,-0.121505134,-0.057277746,-0.107104525,-0.006820525,-0.010136643,-0.08447283,-0.055098422,-0.094942726,-0.055465184,-0.084729016,-0.058138713,-0.075025134,-0.11810836,-0.08093575,-0.13931069,-0.038466796,-0.064284965,-0.15492584,-0.06273587,-0.13093545,-0.12883268,-0.0930318,-0.08722581,-0.07947575,-0.09243849,-0.10126421,-0.14586666,-0.13869204,-0.11994041,0.0751858,0.030931659,0.00031252578,0.061449382,0.05931819,0.027963724,-0.07124821,0.0911297,-0.0441233,-0.09320812,-0.09747718,-0.09542781,-0.0797349,-0.11147122,-0.06209916,-0.095472544,-0.0587137,-0.12396072,-0.056226,-0.05653858,-0.06703213,-0.051818304,-0.028777126,-0.016925655,0.0144498,0.007624672,-0.011552726,-0.03405234,-0.066358015,-0.05035411,-0.061826352,-0.0872606,-0.036200657,0.056191772,-0.004875634,0.07085176,-0.012826361,0.07691793,0.051368438,0.012923755,-0.015161725,0.007458887,-0.031352166,0.07377699,-0.097944126,-0.09599446,-0.023301905,-0.0008623861,-0.042952493,0.02227,-0.09482261,-0.089671925,-0.06373356,-0.034785427,0.0040314794,-0.04649987,-0.05240194,-0.14632903,-0.14512739,-0.09701558,-0.02104117,-0.037365034,-0.0074926177,-0.05158645,-0.118532896,-0.17331722,-0.10158307,-0.12200771,-0.15162914,-0.084524944,-0.0007850155,-0.07501674,-0.009013289,-0.16291192,-0.0898667,-0.08129715,-0.06860036,-0.15427232,-0.06065137,-0.14323086,-0.16709006,-0.081456095,-0.036973592,-0.027149219,-0.036505487,0.026679024,-0.046894863,-0.11855008,-0.1022117,-0.07250807,-0.003870324,-0.044844877,-0.014202928,-0.10606336,-0.12248227,-0.07238454,-0.1074356,-0.05664219,-0.11522268,-0.036869407,-0.045711048,0.12012939,-0.021525577,-0.022012006,-0.103556685,-0.10663959,-0.118676566,-0.033048455,0.02915991,-0.09428274,-0.0151497675,0.004305886,0.03216046
duck,0.3755947,0.9999997,0.54533756,0.32472578,0.26420397,0.30154622,0.30755183,0.38446042,0.20840192,0.4048319,0.28657824,0.3511248,0.16466534,0.19470026,0.18882215,0.15924534,0.15805918,0.2375887,0.18471107,-0.057220157,-0.06425642,-0.075781934,-0.08009049,-0.15341777,-0.06703423,-0.09151311,-0.046615317,-0.038219467,-0.039587066,0.07055727,-0.09099083,-0.09142304,-0.09436439,-0.064436786,-0.032307878,-0.065441445,-0.15064967,-0.11430612,-0.12105151,-0.12557204,-0.1677402,-0.15643054,-0.071815684,-0.07811704,-0.085074805,-0.20931095,-0.004653966,-0.125808,-0.14619556,-0.050144516,0.13309658,0.022757659,-0.018439954,0.17621514,0.038168784,-0.016290393,0.049099334,-0.02419687,0.00088314526,0.038848963,0.088847674,-0.02350368,-0.055949345,-0.060540356,-0.14517015,-0.057678048,-0.09743167,-0.047353342,0.040796887,0.0072341748,0.05463276,-0.010573278,0.034652896,0.06362973,0.06608746,-0.082422875,0.009286977,-0.11766044,0.0061096316,-0.021694077,-0.032403085,-0.0009857155,-0.055698544,0.14302146,0.082917154,0.02724239,0.004272528,-0.04473666,0.04795661,-0.0454949,0.0025604945,0.06468043,0.056381885,0.18322122,-0.002069803,-0.10048395,-0.06864355,-0.042402685,-0.07508209,-0.034558944,-0.10018909,-0.064938776,-0.10473922,-0.11551699,-0.056895535,-0.07131877,-0.07821085,-0.119724795,-0.07822521,-0.06262885,-0.11167369,-0.038140167,0.01999721,-0.04610282,-0.119852394,-0.106495775,-0.06712728,-0.06547626,-0.08290249,-0.12963162,-0.010258298,-0.0492263,-0.08497836,-0.08906336,-0.1425396,-0.08747881,-0.13977449,-0.14463982,-0.10170312,-0.20071322,-0.15908504,-0.13496482,-0.09355281,-0.058078237,0.0109406775,-0.025627457,-0.07774855,-0.10052923,-0.04896988,-0.06939208,-0.0779577,-0.035779923,-0.040727567,-0.08497874,-0.16399714,-0.11809185,-0.10350482,-0.12617177,-0.1201822,-0.051406145,-0.032209113,0.077157035,-0.0027835397,-0.085733674,-0.08436261,-0.115419574,-0.104811095,-0.055109564,-0.048235573,-0.09811625,-0.043724984,0.0067685302,-0.009398031
bird,0.44664425,0.54533756,1.0000001,0.5271311,0.46647197,0.3707714,0.45376676,0.37548393,0.13925144,0.25026584,0.28193045,0.43915713,0.18712792,0.2258234,0.25346014,0.15411979,0.18148318,0.17000633,0.231514,-0.101604536,-0.1504734,-0.14701563,-0.124189965,-0.16809122,-0.047645885,-0.032596767,-0.09695387,-0.09389575,-0.010803746,-0.00091392547,-0.087734364,-0.06288156,-0.062040724,-0.11382045,-0.113364816,-0.111662656,-0.14450505,-0.115275,-0.11088297,-0.08076123,-0.13965568,-0.10199502,-0.113788486,-0.055099558,-0.06608031,-0.088745356,-0.019908557,-0.06740252,-0.08888149,-0.0051790997,0.12272104,0.04405386,-0.024245447,0.0009816736,0.1251875,-0.048904598,0.008728974,0.02164659,0.10079455,-0.036526628,0.006710794,-0.09026134,-0.104146734,-0.07781742,-0.07005831,-0.08830449,-0.08792802,-0.06001416,0.021527758,0.051975656,-0.009239276,-0.06225676,0.03317404,0.028366946,-0.03653023,-0.023916773,-0.044030007,-0.036692187,0.019597445,0.0124100065,0.093890324,-0.035994306,-0.08495945,0.13728511,0.028259544,0.022751302,-0.016675029,0.012560084,0.090956435,0.060733918,0.051461834,0.14434636,0.03990352,0.25285313,0.13897364,-0.15794367,-0.070779786,-0.096204706,-0.09848392,-0.08456408,-0.11464794,-0.10365573,-0.12535694,-0.12923922,-0.14360023,-0.12730835,-0.039903685,-0.114282474,-0.10522479,-0.068750955,-0.039743252,0.056075107,-0.024614817,0.06428628,-0.012795992,-0.102845035,-0.043427367,-0.0906198,-0.1630386,-0.12768129,-0.07565068,-0.11416932,-0.056026123,-0.080806315,-0.111811265,-0.15579818,-0.16471517,-0.1852086,-0.18661493,-0.19395936,-0.13337159,-0.15175672,-0.15172443,-0.022212407,0.0030787732,-0.03750599,0.0060540857,-0.11093272,-0.14271715,-0.11963311,-0.06880734,-0.087128766,-0.052498832,-0.09875319,-0.12823822,-0.15249974,-0.15351796,-0.16836411,-0.14988458,-0.19058532,-0.13132787,0.06812167,0.008121498,-0.026364647,-0.07527928,-0.0920249,-0.121992156,-0.09489228,-0.042805914,-0.04355651,0.00031763315,0.037275586,-0.038887568
owl,0.41476572,0.32472578,0.5271311,1.0000001,0.36669472,0.28038126,0.35143656,0.2973585,0.17301172,0.32693088,0.35645664,0.34569675,0.2881827,0.34303346,0.30341774,0.19494627,0.1438904,0.18562332,0.31831795,-0.093215704,-0.1467683,-0.15135732,-0.088031456,-0.063936755,-0.014273433,-0.03365031,-0.017964097,-0.027765606,0.12758882,0.03818797,-0.055669703,-0.109837815,-0.12613228,-0.1227521,-0.14712417,-0.13265316,-0.096737884,-0.112215355,-0.15410796,-0.102595754,-0.1312306,-0.13050777,-0.058808725,-0.04443371,-0.09165937,-0.14929715,-0.09383569,-0.13867825,-0.1535492,-0.0730575,0.09965807,0.023199711,0.03709221,-7.189438e-05,0.17976657,0.048195582,-0.0040844902,0.013410513,0.09361403,-0.019294966,-0.034742832,-0.1607239,-0.08457878,-0.027942099,-0.037508927,-0.13119408,-0.074701406,-0.037179474,-0.012386659,-0.043105416,-0.0065236297,-0.017165162,-0.0014014301,-0.004218827,-0.014553551,-0.0882212,0.01609334,-0.11138757,-0.046896055,-0.08466975,-0.028777376,-0.12539804,-0.08977643,0.054167226,-0.02489179,-0.022723593,-0.116295554,0.033095635,0.06624978,0.04786581,-0.05084695,0.070016816,0.062250867,0.14344499,-0.04067771,-0.05162674,0.036262415,-0.0383432,-0.07898635,-0.06308138,-0.06917936,-0.06238402,-0.033213858,-0.034566462,-0.07159793,-0.07568721,-0.07132292,-0.07289399,-0.039613392,-0.023467213,-0.059022013,0.04893349,0.005093044,-0.0069734855,-0.07402453,-0.10578062,-0.10240763,-0.054011665,-0.1221714,-0.10333368,-0.08355522,-0.123723,-0.053115904,-0.035644565,-0.11126192,-0.04266685,-0.07032584,-0.10880289,-0.1062447,-0.12760101,-0.12625585,-0.1691488,-0.15970434,-0.115930215,-0.017804544,-0.02339732,-0.11022374,-0.06580464,-0.09049265,-0.1197221,-0.05380621,-0.06271286,-0.07537436,-0.13960472,-0.14592323,-0.11134717,-0.12014073,-0.08737337,-0.11133799,-0.14045943,-0.066155985,0.031938512,-0.010838985,-0.077796325,-0.07084353,-0.094656006,-0.13629338,-0.07098983,0.015812242,-0.027171731,-0.008834634,-0.04589074,0.047031797
butterfly,0.26840287,0.26420397,0.46647197,0.36669472,0.9999999,0.3956362,0.39887947,0.23060119,0.10252126,0.2040509,0.24016924,0.27420008,0.20422366,0.19930598,0.31029266,0.15828604,0.20620224,0.042411856,0.17890762,-0.04952701,-0.07711406,-0.10791063,-0.06476387,-0.014697704,-0.043737598,-0.03964912,-0.08467681,-0.095914885,0.055234976,-0.047772396,-0.021590386,-0.04235093,-0.0026825443,-0.11492857,-0.11554913,-0.12652043,-0.10508947,-0.16933969,-0.09928789,-0.05774689,-0.07873294,-0.11095886,-0.05141467,-0.051790822,-0.07700305,-0.11741555,-0.054174032,-0.08471353,-0.115042984,-0.053052,0.06896957,0.10523648,-0.04179993,0.041783437,0.14290653,0.031487163,0.0031155534,-0.03957742,0.19086155,0.02520972,0.0474514,-0.11318101,-0.11633746,-0.13850331,-0.0859468,-0.06632974,-0.05521886,-0.093300246,-0.09237755,-0.034826674,-0.102338776,-0.006094521,0.019565206,0.013565839,-0.069582745,-0.08322145,-0.09524443,-0.14008498,-0.058174938,-0.12211043,0.017451646,-0.03133034,-0.054554887,0.016902681,0.06187004,0.010735413,-0.11624454,-0.00063061714,0.12637362,0.116702534,0.023667024,0.104201615,0.057589255,0.4686611,0.24307695,-0.04300161,-0.0059231333,-0.028160464,-0.05431737,-0.060079694,-0.068173505,-0.041306514,-0.10082935,-0.022352807,-0.07918595,-0.058914796,-0.11995642,-0.12267928,-0.104979336,-0.06655433,-0.06219232,0.07022011,0.040060457,0.09802386,0.022626923,-0.09613794,-0.025390908,-0.049431175,-0.04481062,-0.074954875,-0.06003739,-0.086162925,-0.11208397,-0.06511551,-0.12614307,-0.12638263,-0.097742155,-0.11289253,-0.16529821,-0.19844598,-0.07946151,-0.040988468,-0.11255631,-0.11289385,-0.00807637,0.041306727,-0.042668507,-0.093123905,-0.09497823,-0.087084025,-0.13530304,-0.1249336,-0.12198924,-0.09399215,-0.13067338,-0.14068133,-0.061235074,-0.1387992,-0.15065643,-0.13981152,-0.035980694,0.0013856962,-0.023928713,0.0029205913,-0.102553874,-0.08081609,-0.090367585,-0.065803334,-0.018702084,-0.056537464,-0.059630066,-0.015477593,0.06762193
fish,0.3685107,0.30154622,0.3707714,0.28038126,0.3956362,1.0,0.41298664,0.2502161,0.18996032,0.27913082,0.23947501,0.27748832,0.23362944,0.16318713,0.28432658,0.18932424,0.20041746,0.1647931,0.23246923,-0.1003465,-0.10893968,-0.13904603,-0.05987497,-0.07017239,-0.046590198,-0.11478108,-0.035859473,-0.021460172,0.07821927,0.04333683,0.026236147,0.024414236,0.040045016,0.00035674963,-0.03332449,-0.07505381,-0.0690151,-0.06261497,-0.06451697,-0.07040323,-0.09851777,-0.13305941,-0.09177302,-0.13236447,-0.06286516,-0.06477739,-0.11309905,-0.10061221,-0.15241727,-0.048753288,0.11181904,0.1343991,-0.030761436,0.17126775,0.043999758,0.0050124563,-0.023156937,-0.066653796,-0.03640922,-0.07341386,0.0032131737,-0.0281594,-0.18004562,-0.19553192,-0.16687188,-0.0243491,-0.054515135,-0.11474081,-0.10921188,-0.05087643,-0.051144905,-0.035799097,0.075847365,0.05001244,0.018262263,-0.01667335,-0.083255626,-0.10028425,0.027594564,-0.1401731,-0.09915669,0.01899412,-0.19501033,0.00867584,0.062982626,0.029588021,0.028177265,-0.04045501,0.08788541,0.019509971,-0.04919412,-0.032561958,-0.054532953,0.17700814,0.1598711,-0.06158605,-0.059045173,0.014296746,-0.026220711,-0.027429562,-0.13148254,-0.036758415,-0.00586256,-0.059136476,-0.030327938,-0.079517245,-0.04007627,-0.08221632,-0.07238649,-0.07975298,-0.10760817,-0.05781675,-0.0061493926,-0.08749082,-0.11881818,-0.07053294,-0.06942766,0.015230746,-0.10218109,-0.07749516,-0.04237856,-0.041200083,-0.062867306,-0.09363197,-0.11800355,-0.10964526,-0.09190999,-0.08105084,-0.10005796,-0.121531084,-0.08622715,-0.1451538,-0.1846996,-0.10256928,-0.06500654,0.01466088,-0.026169214,-0.1364761,-0.035072923,-0.022686074,-0.035685264,-0.00042795576,-0.025003284,-0.072840974,-0.07596307,-0.08146537,-0.10199277,-0.12527454,-0.10787429,-0.17006649,-0.10028406,0.028032675,0.014210633,-0.033404272,-0.04234326,-0.0045870948,-0.12720159,-0.06227409,0.012755945,-0.04738982,-0.027703706,0.006943606,-0.078870595
frog,0.29602662,0.30755183,0.45376676,0.35143656,0.39887947,0.41298664,0.99999976,0.20377031,0.20781791,0.4104625,0.24343145,0.35912883,0.1817551,0.24425492,0.23122056,0.10049585,0.11775259,0.15784973,0.22955714,-0.00059587136,0.0006148562,-0.08847605,-0.00956098,-0.029686498,-0.01343136,-0.0488115,-0.11379308,-0.05509153,0.047062412,0.010100283,0.018741315,-0.05747064,-0.023148557,-0.067839675,-0.06116145,-0.09902951,-0.11952091,-0.1440795,-0.115179524,-0.108136736,-0.13416137,-0.12592727,-0.11401677,-0.16563955,-0.04386183,-0.10911074,-0.11014013,-0.16136622,-0.11341517,-0.09662121,0.11661043,0.06659518,-0.02811191,0.024877416,0.08060903,0.03143882,0.0036841948,-0.033680964,0.05944041,0.024919944,0.001059832,-0.06735137,-0.09523162,-0.1301333,-0.062710494,-0.0445004,-0.038008656,-0.06318623,-0.08997377,-0.0476441,-0.04010915,0.0066933343,0.06757792,-0.023476135,-0.053021803,-0.072824515,-0.10592094,-0.085943215,-0.005671657,-0.07037593,0.04691677,0.14259481,-0.04902737,0.027571455,0.08155817,0.08284827,0.034446165,0.047881927,0.061160736,0.059564713,0.07273103,0.04101554,0.025522904,0.17793404,0.14798893,-0.08019497,-0.050297543,-0.05094476,-0.09063671,-0.086528756,-0.1474896,-0.19759002,-0.14430434,-0.09266008,-0.103883974,-0.16550371,-0.07967113,-0.079294905,-0.08511105,-0.07411504,-0.059343476,0.14216596,0.03857151,-0.042433567,-0.07951859,-0.118091434,-0.13293812,-0.13961527,-0.12404995,-0.08300998,-0.07223227,-0.016681619,-0.093854904,-0.12543108,-0.12686568,-0.062437996,-0.032466378,-0.12061541,-0.11308904,-0.1848742,-0.13306126,-0.05893142,-0.05482746,-0.03435716,-0.08275899,-0.0903152,-0.038650174,-0.09386957,-0.09544207,-0.07026075,0.00021816045,-0.091651216,-0.092968896,-0.052466013,-0.12278973,-0.14434265,-0.07576927,-0.096927196,-0.12773694,-0.07666876,-0.11957069,0.05201342,-0.028478293,-0.036060188,-0.06642739,-0.052670702,-0.101227015,-0.022162825,-0.030991726,-0.0642198,-0.04100734,0.012419359,-0.06866495
rooster,0.2734679,0.38446042,0.37548393,0.2973585,0.23060119,0.2502161,0.20377031,1.0000002,0.3846263,0.26808232,0.18479306,0.22873414,0.11222021,0.16069764,0.25152487,0.37760374,0.30957413,0.14447805,0.17948633,-0.10499294,-0.04926994,-0.07445479,-0.08361842,-0.1048208,0.022005372,-0.059700117,-0.062406875,-0.05386701,-0.06873241,-0.0444578,-0.13186494,-0.13497494,-0.15335968,-0.08659416,-0.08960617,-0.13984646,-0.08281221,-0.037408676,-0.15459007,-0.068315946,-0.1764971,-0.15593845,-0.048954144,-0.07413215,-0.14338575,-0.14505383,-0.015932132,-0.13997994,-0.13594419,-0.062883705,0.017502442,0.084038906,0.038210712,0.036030725,0.019547576,0.012590902,0.05266044,-0.058969498,0.025394792,0.10359846,0.021663167,-0.036606126,-0.09040213,-0.089734785,-0.08320649,-0.009193875,-0.14340433,-0.06398054,0.021052876,0.061978806,-0.0105683915,0.023724958,0.07062283,0.091039516,0.12286623,-0.011944043,-0.066708654,-0.0011802763,0.011453351,-0.02290923,-0.019027114,0.031635508,-0.0028144317,0.40488937,0.20450798,0.20060626,0.106182106,0.048802108,0.07891041,0.03787832,0.0061438032,0.10481044,0.09640607,0.11810951,0.09166382,-0.08167535,-0.048988,-0.062452942,-0.06211137,-0.07151553,-0.0696142,-0.023548074,-0.017151648,-0.099339366,-0.1495238,-0.053483516,-0.103805676,-0.03833612,0.01928214,-0.0068393387,-0.112270825,-0.06508091,-0.03202818,-0.049091607,-0.14563537,-0.100929335,-0.09065494,-0.05661011,-0.11796427,-0.14802802,-0.10062221,-0.047613066,0.009295799,-0.033521496,-0.13184726,-0.03596808,-0.03679149,-0.11492388,-0.15570281,-0.20208037,-0.11112049,-0.1299263,-0.14691323,-0.06257556,0.03349362,-0.051041424,-0.12571532,-0.105720356,-0.105479285,-0.17931135,-0.13619536,-0.09644166,-0.1249622,-0.11363867,-0.10788563,-0.09808519,-0.10241291,-0.10072581,-0.094314516,-0.10519968,-0.044181745,-0.0035582352,-0.07323522,-0.14861023,-0.1838181,-0.23129958,-0.08676779,-0.06624232,-0.11807319,-0.07598445,-0.037051164,-0.059185702,0.008165216
pig,0.19127679,0.20840192,0.13925144,0.17301172,0.10252126,0.18996032,0.20781791,0.3846263,1.0000002,0.27504393,0.33576503,0.3047797,0.34961173,0.19666892,0.23684135,0.40350467,0.31029144,0.18965225,0.15529601,0.04313056,0.08032876,0.050920386,-0.02847933,-0.01916885,0.045030512,0.0014568549,-0.08264257,0.008730801,-0.033414897,0.0443594,0.042443242,0.007330116,0.023788337,-0.0976979,-0.09887037,-0.14347078,-0.0742043,-0.09828064,-0.16732964,-0.10928945,-0.21428855,-0.20033155,-0.17000079,-0.17947355,-0.15729508,-0.13301083,-0.12084967,-0.17927669,-0.19587258,-0.2402317,-0.014193185,-0.0056735612,-0.053497795,0.005186674,0.04861867,0.0027686297,0.07965581,-0.08930135,0.032587077,0.10094355,-0.010093752,-0.055013914,-0.12612787,-0.10193364,-0.055058315,0.013819771,-0.03339315,-0.015512586,0.013608307,0.0076322667,0.022645157,0.00269684,0.045594398,0.0963092,0.2783817,-0.06261095,-0.04706902,-0.11170256,-0.09409492,-0.0378707,-0.02673798,0.022052452,0.023392992,0.109578066,0.19228533,0.16132855,0.2028487,0.08571847,0.08931336,0.06761581,0.08268742,0.13988194,0.085882396,0.07800473,0.018565137,-0.05978822,-0.030291349,-0.02740974,-0.027438618,-0.0535895,-0.16644993,-0.08685003,-0.022664674,-0.093688995,-0.07323407,-0.03716074,-0.105732486,-0.086685136,-0.06865738,-0.061750755,-0.05668863,-0.03851607,-0.034740783,-0.15756662,-0.19609001,-0.18399674,-0.14614013,-0.11523639,-0.1349776,-0.055942506,-0.118255,-0.02775298,0.04628259,-0.09623306,-0.15480483,-0.107782975,-0.02498845,-0.13494925,-0.12191564,-0.19934487,-0.20126939,-0.11236777,-0.08716774,-0.0785573,-0.08082697,-0.058188513,-0.07125723,-0.073569484,-0.03969005,-0.12564176,-0.07691596,-0.06541448,-0.10619883,-0.10550083,-0.04293595,-0.039741475,-0.11510956,-0.11317401,-0.08132911,-0.020450965,-0.052454382,0.045829084,-0.042565018,-0.13473013,-0.10293791,-0.12259793,-0.03619739,-0.07832345,-0.09407257,-0.14242011,-0.088837154,-0.05311882,0.08310273
alligator,0.244369,0.4048319,0.25026584,0.32693088,0.2040509,0.27913082,0.4104625,0.26808232,0.27504393,0.9999999,0.3443883,0.25658762,0.33928943,0.3382362,0.32009292,0.14721636,0.12232454,0.13533372,0.11268969,-0.031439845,-0.0044191806,-0.023463003,-0.010507403,-0.042490102,-0.027606908,-0.07546397,-0.10142848,-0.025376415,-0.0048682867,0.038084004,-0.05842541,-0.028105773,0.06308362,-0.09354816,-0.06532884,-0.10133899,-0.069722876,-0.0740516,-0.14025083,-0.12503344,-0.20243211,-0.21209294,-0.11539851,-0.19262868,-0.069927074,-0.15148206,-0.037150674,-0.1914622,-0.1960324,-0.11300191,-0.004887201,0.025923042,-0.031789955,0.087948084,0.13702594,0.07924467,0.015858268,0.026553217,-0.0038823457,0.02236088,0.052374173,-0.03707691,-0.03671771,-0.08673548,-0.07193969,-0.099744156,-0.0023135375,-0.034774296,-0.0045966785,-0.018891174,0.017434843,-0.03171426,0.02018971,0.00091652945,0.07443174,-0.0888489,0.09843889,-0.048170634,-0.058546387,-0.16499647,-0.12685111,0.009653643,-0.10508578,0.034616686,0.12685315,0.0025131963,-0.09278922,-0.0023195557,0.08402238,0.0062564043,0.0100283455,-0.078659326,0.037134215,0.060339354,0.01697422,-0.103977874,-0.06455908,-0.07094452,-0.08018914,-0.0505425,-0.15724143,-0.07713415,-0.024817552,-0.16620992,0.001925231,-0.06450746,-0.057156995,-0.0524227,-0.021805873,-0.016639017,-0.07993086,0.0843507,0.06823792,-0.09829148,-0.15490709,-0.14148653,-0.14599793,-0.0759376,-0.064483,-0.103917286,0.04090061,-0.047787108,-0.102733254,-0.09827893,-0.18250105,-0.061439887,-0.07637255,-0.1668656,-0.10450947,-0.18986896,-0.15572037,-0.0913499,-0.11931409,-0.11759412,0.0077563375,-0.029338779,-0.086761765,-0.10291698,-0.029633058,-0.074947216,-0.036963217,-0.044475034,-0.12157213,-0.059564486,-0.102011904,-0.11906661,-0.003770345,-0.08240368,-0.08792517,0.0007923826,-0.0073728533,0.06842612,-0.063528135,-0.06495322,-0.11658152,-0.14188462,-0.05917282,0.005666024,0.004540076,-0.0160552,-0.0015992373,0.0070255115,0.027855236
