subject_id,spearman_correlation,pearson_correlation,n_common_categories,n_clip_categories,n_dino_categories
00220001,0.8531617714278052,0.8620008099858366,155,155,155
00230001,0.842337799518523,0.8612716443284614,143,143,143
00240001,0.881614896180011,0.8878009335710285,159,159,159
00320001,0.8750492019648964,0.8930787411513228,162,162,162
00320002,0.8984530811363222,0.9082601395169235,156,156,156
00320003,0.8840345729651632,0.900512161995131,156,156,156
00340002,0.7489077031553667,0.7798941816559478,99,99,99
00350001,0.7938882134415207,0.8151217645808002,111,111,111
00350002,0.8358385154430551,0.8461582783659111,123,123,123
00360001,0.8436065879733842,0.8606567451199263,153,153,153
00370001,0.8505046505555716,0.8735863328320328,157,157,157
00370002,0.894577985620844,0.9048148224090071,161,161,161
00390001,0.8098577087488541,0.8383476888130882,141,141,141
00400001,0.9036428835380528,0.9129188385307601,161,161,161
00400002,0.8837114341697312,0.897935681960653,160,160,160
00400003,0.8889221353523401,0.8981701284363954,153,153,153
00420001,0.8700448801930648,0.8769867656807747,161,161,161
00430001,0.8746308421623378,0.8923206612698201,160,160,160
00430002,0.7698136303425553,0.7936390653619709,112,112,112
00440001,0.8310832559794348,0.8488363981199771,134,134,134
00460001,0.7786377691931426,0.7952913681675422,140,140,140
00490001,0.8692520188471938,0.8841041277662831,150,150,150
00500001,0.8826286572549231,0.89266933397346,161,161,161
00510001,0.8714987410186549,0.8841437888225611,157,157,157
00510002,0.8691654017336253,0.8867649488853532,160,160,160
00550001,0.8502229763805473,0.8579571977362486,132,132,132
00560001,0.8657863952717004,0.8843343960124195,161,161,161
00590001,0.8316603863350919,0.8547196548609363,152,152,152
00680001,0.8194293524258092,0.8482139991403724,152,152,152
00720001,0.8481670099972332,0.8644974593730366,154,154,154
00820001,0.8919099551187063,0.9031206515247633,160,160,160
