position,category,cdi_semantic,things_cluster_id,things_cluster_label,source_order
0,alligator,animals,1,C1 (animals),things_first_cluster
1,motorcycle,vehicles,1,C1 (animals),things_first_cluster
2,cat,animals,1,C1 (animals),things_first_cluster
3,dog,animals,1,C1 (animals),things_first_cluster
4,radio,household,1,C1 (animals),things_first_cluster
5,bird,animals,1,C1 (animals),things_first_cluster
6,car,vehicles,1,C1 (animals),things_first_cluster
7,plant,household,1,C1 (animals),things_first_cluster
8,butterfly,animals,1,C1 (animals),things_first_cluster
9,flower,outside,1,C1 (animals),things_first_cluster
10,fish,food_drink,1,C1 (animals),things_first_cluster
11,frog,animals,1,C1 (animals),things_first_cluster
12,chips,food_drink,2,C2 (food_drink),things_first_cluster
13,muffin,food_drink,2,C2 (food_drink),things_first_cluster
14,cookie,food_drink,2,C2 (food_drink),things_first_cluster
15,cracker,food_drink,2,C2 (food_drink),things_first_cluster
16,pizza,food_drink,2,C2 (food_drink),things_first_cluster
17,bread,food_drink,2,C2 (food_drink),things_first_cluster
18,hamburger,food_drink,2,C2 (food_drink),things_first_cluster
19,sandwich,food_drink,2,C2 (food_drink),things_first_cluster
20,apple,food_drink,3,C3 (food_drink),things_first_cluster
21,strawberry,food_drink,3,C3 (food_drink),things_first_cluster
22,pickle,food_drink,3,C3 (food_drink),things_first_cluster
23,banana,food_drink,3,C3 (food_drink),things_first_cluster
24,carrot,food_drink,3,C3 (food_drink),things_first_cluster
25,corn,food_drink,3,C3 (food_drink),things_first_cluster
26,tape,household,3,C3 (food_drink),things_first_cluster
27,gum,food_drink,3,C3 (food_drink),things_first_cluster
28,soap,household,3,C3 (food_drink),things_first_cluster
29,egg,food_drink,3,C3 (food_drink),things_first_cluster
30,ball,toys,3,C3 (food_drink),things_first_cluster
31,balloon,toys,3,C3 (food_drink),things_first_cluster
32,melon,food_drink,3,C3 (food_drink),things_first_cluster
33,orange,food_drink,3,C3 (food_drink),things_first_cluster
34,pumpkin,food_drink,3,C3 (food_drink),things_first_cluster
35,glove,clothing,4,C4 (body_parts),things_first_cluster
36,mitten,clothing,4,C4 (body_parts),things_first_cluster
37,sock,clothing,4,C4 (body_parts),things_first_cluster
38,ankle,body_parts,4,C4 (body_parts),things_first_cluster
39,foot,body_parts,4,C4 (body_parts),things_first_cluster
40,toe,body_parts,4,C4 (body_parts),things_first_cluster
41,arm,body_parts,4,C4 (body_parts),things_first_cluster
42,finger,body_parts,4,C4 (body_parts),things_first_cluster
43,hand,body_parts,4,C4 (body_parts),things_first_cluster
44,hair,body_parts,4,C4 (body_parts),things_first_cluster
45,tooth,body_parts,4,C4 (body_parts),things_first_cluster
46,ear,body_parts,4,C4 (body_parts),things_first_cluster
47,eye,body_parts,4,C4 (body_parts),things_first_cluster
48,face,body_parts,4,C4 (body_parts),things_first_cluster
49,mouth,body_parts,4,C4 (body_parts),things_first_cluster
50,nose,body_parts,4,C4 (body_parts),things_first_cluster
51,necklace,clothing,5,C5 (household),things_first_cluster
52,soup,food_drink,5,C5 (household),things_first_cluster
53,clock,household,5,C5 (household),things_first_cluster
54,watch,household,5,C5 (household),things_first_cluster
55,book,toys,5,C5 (household),things_first_cluster
56,glasses,household,5,C5 (household),things_first_cluster
57,blanket,household,6,C6 (clothing),things_first_cluster
58,towel,household,6,C6 (clothing),things_first_cluster
59,scarf,clothing,6,C6 (clothing),things_first_cluster
60,sweater,clothing,6,C6 (clothing),things_first_cluster
61,shorts,clothing,6,C6 (clothing),things_first_cluster
62,jeans,clothing,6,C6 (clothing),things_first_cluster
63,pants,clothing,6,C6 (clothing),things_first_cluster
64,jacket,clothing,6,C6 (clothing),things_first_cluster
65,pajamas,clothing,6,C6 (clothing),things_first_cluster
66,shirt,clothing,6,C6 (clothing),things_first_cluster
67,hat,clothing,6,C6 (clothing),things_first_cluster
68,belt,clothing,6,C6 (clothing),things_first_cluster
69,purse,household,6,C6 (clothing),things_first_cluster
70,bib,clothing,6,C6 (clothing),things_first_cluster
71,shoe,clothing,6,C6 (clothing),things_first_cluster
72,slipper,clothing,6,C6 (clothing),things_first_cluster
73,toy,toys,6,C6 (clothing),things_first_cluster
74,doll,toys,6,C6 (clothing),things_first_cluster
75,dress,clothing,6,C6 (clothing),things_first_cluster
76,scissors,household,7,C7 (household),things_first_cluster
77,comb,household,7,C7 (household),things_first_cluster
78,toothbrush,household,7,C7 (household),things_first_cluster
79,fork,household,7,C7 (household),things_first_cluster
80,spoon,household,7,C7 (household),things_first_cluster
81,basket,household,7,C7 (household),things_first_cluster
82,bucket,household,7,C7 (household),things_first_cluster
83,can,household,7,C7 (household),things_first_cluster
84,milk,food_drink,7,C7 (household),things_first_cluster
85,glass,household,7,C7 (household),things_first_cluster
86,bottle,household,7,C7 (household),things_first_cluster
87,jar,household,7,C7 (household),things_first_cluster
88,box,household,7,C7 (household),things_first_cluster
89,drawer,furniture_rooms,7,C7 (household),things_first_cluster
90,tray,household,7,C7 (household),things_first_cluster
91,napkin,household,7,C7 (household),things_first_cluster
92,paper,household,7,C7 (household),things_first_cluster
93,coffee,food_drink,7,C7 (household),things_first_cluster
94,bowl,household,7,C7 (household),things_first_cluster
95,cup,household,7,C7 (household),things_first_cluster
96,dish,household,7,C7 (household),things_first_cluster
97,plate,household,7,C7 (household),things_first_cluster
98,sink,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
99,bathtub,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
100,shower,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
101,oven,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
102,refrigerator,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
103,closet,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
104,door,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
105,window,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
106,couch,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
107,crib,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
108,bed,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
109,pillow,household,8,C8 (furniture_rooms),things_first_cluster
110,lamp,household,8,C8 (furniture_rooms),things_first_cluster
111,bench,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
112,chair,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
113,table,furniture_rooms,8,C8 (furniture_rooms),things_first_cluster
114,ladder,outside,9,C9 (outside),things_first_cluster
115,slide,outside,9,C9 (outside),things_first_cluster
116,swing,outside,9,C9 (outside),things_first_cluster
117,pony,animals,9,C9 (outside),things_first_cluster
118,tree,outside,9,C9 (outside),things_first_cluster
119,broom,household,9,C9 (outside),things_first_cluster
120,shovel,outside,9,C9 (outside),things_first_cluster
121,stroller,vehicles,9,C9 (outside),things_first_cluster
122,vacuum,household,9,C9 (outside),things_first_cluster
123,nail,household,9,C9 (outside),things_first_cluster
124,rock,outside,9,C9 (outside),things_first_cluster
125,stick,outside,9,C9 (outside),things_first_cluster
126,hose,outside,9,C9 (outside),things_first_cluster
127,grass,outside,9,C9 (outside),things_first_cluster
128,sprinkler,outside,9,C9 (outside),things_first_cluster
