position,category,cdi_semantic,things_cluster_id,things_cluster_label,source_order
0,banana,food_drink,1,C1 (food_drink),things_first_cluster
1,apple,food_drink,1,C1 (food_drink),things_first_cluster
2,melon,food_drink,1,C1 (food_drink),things_first_cluster
3,orange,food_drink,1,C1 (food_drink),things_first_cluster
4,strawberry,food_drink,1,C1 (food_drink),things_first_cluster
5,pumpkin,food_drink,1,C1 (food_drink),things_first_cluster
6,carrot,food_drink,1,C1 (food_drink),things_first_cluster
7,corn,food_drink,1,C1 (food_drink),things_first_cluster
8,egg,food_drink,1,C1 (food_drink),things_first_cluster
9,milk,food_drink,1,C1 (food_drink),things_first_cluster
10,pickle,food_drink,1,C1 (food_drink),things_first_cluster
11,chips,food_drink,1,C1 (food_drink),things_first_cluster
12,cracker,food_drink,1,C1 (food_drink),things_first_cluster
13,bread,food_drink,1,C1 (food_drink),things_first_cluster
14,cookie,food_drink,1,C1 (food_drink),things_first_cluster
15,muffin,food_drink,1,C1 (food_drink),things_first_cluster
16,soup,food_drink,1,C1 (food_drink),things_first_cluster
17,pizza,food_drink,1,C1 (food_drink),things_first_cluster
18,hamburger,food_drink,1,C1 (food_drink),things_first_cluster
19,sandwich,food_drink,1,C1 (food_drink),things_first_cluster
20,car,vehicles,2,C2 (animals),things_first_cluster
21,motorcycle,vehicles,2,C2 (animals),things_first_cluster
22,pony,animals,2,C2 (animals),things_first_cluster
23,cat,animals,2,C2 (animals),things_first_cluster
24,dog,animals,2,C2 (animals),things_first_cluster
25,alligator,animals,2,C2 (animals),things_first_cluster
26,fish,food_drink,2,C2 (animals),things_first_cluster
27,bird,animals,2,C2 (animals),things_first_cluster
28,frog,animals,2,C2 (animals),things_first_cluster
29,tree,outside,2,C2 (animals),things_first_cluster
30,plant,household,2,C2 (animals),things_first_cluster
31,butterfly,animals,2,C2 (animals),things_first_cluster
32,flower,outside,2,C2 (animals),things_first_cluster
33,rock,outside,3,C3 (outside),things_first_cluster
34,nail,household,3,C3 (outside),things_first_cluster
35,stick,outside,3,C3 (outside),things_first_cluster
36,comb,household,3,C3 (outside),things_first_cluster
37,toothbrush,household,3,C3 (outside),things_first_cluster
38,scissors,household,3,C3 (outside),things_first_cluster
39,shovel,outside,3,C3 (outside),things_first_cluster
40,fork,household,3,C3 (outside),things_first_cluster
41,spoon,household,3,C3 (outside),things_first_cluster
42,ladder,outside,3,C3 (outside),things_first_cluster
43,slide,outside,3,C3 (outside),things_first_cluster
44,swing,outside,3,C3 (outside),things_first_cluster
45,broom,household,3,C3 (outside),things_first_cluster
46,vacuum,household,3,C3 (outside),things_first_cluster
47,hose,outside,3,C3 (outside),things_first_cluster
48,grass,outside,3,C3 (outside),things_first_cluster
49,sprinkler,outside,3,C3 (outside),things_first_cluster
50,door,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
51,window,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
52,sink,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
53,bathtub,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
54,shower,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
55,oven,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
56,refrigerator,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
57,lamp,household,4,C4 (furniture_rooms),things_first_cluster
58,bench,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
59,chair,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
60,table,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
61,closet,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
62,drawer,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
63,tray,household,4,C4 (furniture_rooms),things_first_cluster
64,crib,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
65,stroller,vehicles,4,C4 (furniture_rooms),things_first_cluster
66,blanket,household,4,C4 (furniture_rooms),things_first_cluster
67,towel,household,4,C4 (furniture_rooms),things_first_cluster
68,couch,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
69,bed,furniture_rooms,4,C4 (furniture_rooms),things_first_cluster
70,pillow,household,4,C4 (furniture_rooms),things_first_cluster
71,tape,household,5,C5 (household),things_first_cluster
72,gum,food_drink,5,C5 (household),things_first_cluster
73,soap,household,5,C5 (household),things_first_cluster
74,box,household,5,C5 (household),things_first_cluster
75,napkin,household,5,C5 (household),things_first_cluster
76,paper,household,5,C5 (household),things_first_cluster
77,coffee,food_drink,5,C5 (household),things_first_cluster
78,cup,household,5,C5 (household),things_first_cluster
79,bowl,household,5,C5 (household),things_first_cluster
80,dish,household,5,C5 (household),things_first_cluster
81,plate,household,5,C5 (household),things_first_cluster
82,basket,household,5,C5 (household),things_first_cluster
83,glass,household,5,C5 (household),things_first_cluster
84,bottle,household,5,C5 (household),things_first_cluster
85,jar,household,5,C5 (household),things_first_cluster
86,bucket,household,5,C5 (household),things_first_cluster
87,can,household,5,C5 (household),things_first_cluster
88,radio,household,6,C6 (household),things_first_cluster
89,clock,household,6,C6 (household),things_first_cluster
90,watch,household,6,C6 (household),things_first_cluster
91,doll,toys,7,C7 (clothing),things_first_cluster
92,toy,toys,7,C7 (clothing),things_first_cluster
93,bib,clothing,7,C7 (clothing),things_first_cluster
94,necklace,clothing,7,C7 (clothing),things_first_cluster
95,shoe,clothing,7,C7 (clothing),things_first_cluster
96,slipper,clothing,7,C7 (clothing),things_first_cluster
97,glove,clothing,7,C7 (clothing),things_first_cluster
98,mitten,clothing,7,C7 (clothing),things_first_cluster
99,sock,clothing,7,C7 (clothing),things_first_cluster
100,scarf,clothing,7,C7 (clothing),things_first_cluster
101,sweater,clothing,7,C7 (clothing),things_first_cluster
102,jeans,clothing,7,C7 (clothing),things_first_cluster
103,pants,clothing,7,C7 (clothing),things_first_cluster
104,shorts,clothing,7,C7 (clothing),things_first_cluster
105,dress,clothing,7,C7 (clothing),things_first_cluster
106,pajamas,clothing,7,C7 (clothing),things_first_cluster
107,jacket,clothing,7,C7 (clothing),things_first_cluster
108,shirt,clothing,7,C7 (clothing),things_first_cluster
109,hat,clothing,7,C7 (clothing),things_first_cluster
110,belt,clothing,7,C7 (clothing),things_first_cluster
111,purse,household,7,C7 (clothing),things_first_cluster
112,ball,toys,8,C8 (toys),things_first_cluster
113,balloon,toys,8,C8 (toys),things_first_cluster
114,hair,body_parts,9,C9 (body_parts),things_first_cluster
115,face,body_parts,9,C9 (body_parts),things_first_cluster
116,toe,body_parts,9,C9 (body_parts),things_first_cluster
117,ankle,body_parts,9,C9 (body_parts),things_first_cluster
118,foot,body_parts,9,C9 (body_parts),things_first_cluster
119,arm,body_parts,9,C9 (body_parts),things_first_cluster
120,finger,body_parts,9,C9 (body_parts),things_first_cluster
121,hand,body_parts,9,C9 (body_parts),things_first_cluster
122,ear,body_parts,9,C9 (body_parts),things_first_cluster
123,eye,body_parts,9,C9 (body_parts),things_first_cluster
124,tooth,body_parts,9,C9 (body_parts),things_first_cluster
125,mouth,body_parts,9,C9 (body_parts),things_first_cluster
126,nose,body_parts,9,C9 (body_parts),things_first_cluster
127,book,toys,9,C9 (body_parts),things_first_cluster
128,glasses,household,9,C9 (body_parts),things_first_cluster
