category,cdi_category,bv_tsne_x,bv_tsne_y,things_tsne_x,things_tsne_y
airplane,vehicles,-7.983873,11.369008,-12.519477,3.1684277
alligator,animals,-3.3165536,3.3415663,-14.035089,2.564954
ankle,body_parts,16.815619,-0.105971135,19.712889,2.9658074
ant,animals,-4.8054166,-0.53601885,-6.578068,5.401726
apple,food_drink,8.352963,-16.926579,7.19123,-17.181799
applesauce,food_drink,-5.430788,-10.2399435,-18.37124,-17.593424
arm,body_parts,10.708625,7.062882,12.5044565,4.672407
ball,toys,10.698024,-14.689204,11.876619,-14.903031
balloon,toys,10.530312,-14.029646,11.486322,-13.171609
banana,food_drink,-4.8633995,-14.290028,-5.0443726,-13.4995985
basket,household,3.8299878,0.0923376,3.2676227,-0.02123314
bathtub,furniture_rooms,5.8897696,9.404279,7.503259,17.650242
bear,animals,-0.39006388,5.53083,-9.957969,7.084502
bed,furniture_rooms,6.997123,12.330677,5.9451275,14.743009
bee,animals,-1.6346084,1.0686983,-6.3029985,4.696719
belt,clothing,10.935273,-5.5094914,7.590961,5.299685
bench,furniture_rooms,2.1890469,14.002306,0.97947955,13.801847
bib,clothing,9.458257,7.5367284,-1.1477784,-17.350632
bird,animals,-5.2810874,2.075238,-10.720759,3.469007
blanket,household,7.323828,11.632966,1.5030339,-22.750654
boat,vehicles,-0.6814746,10.569422,-0.79204285,9.625141
book,toys,3.9711637,5.2519517,3.1809514,5.724104
bottle,household,2.9505196,-9.950921,2.4196463,-14.882636
bowl,household,0.18119292,-9.866163,-12.197027,-24.760876
box,household,4.941986,6.1477056,5.707996,6.501113
bread,food_drink,-8.131477,-11.138294,-9.752236,-8.0068035
broom,household,-3.6745956,18.12153,-6.5735345,23.327719
brush,household,0.44406614,-2.801953,-7.143881,24.04093
bucket,household,1.6140993,-9.147235,-0.6233021,-7.967584
bug,animals,-1.1220199,2.277289,-8.009295,6.8989663
bus,vehicles,11.089331,13.767258,-13.458635,-2.7749987
butter,food_drink,-6.1361313,-16.37947,-7.315712,-19.935007
butterfly,animals,-4.6143126,0.8575478,-12.817757,0.9152644
cake,food_drink,-6.105284,-5.8966694,-6.343838,-4.5726104
can,household,2.5124521,-8.738035,0.01014143,-8.469058
candy,food_drink,8.2980795,-11.777443,6.8584356,-11.789711
car,vehicles,-2.6297028,-0.47107795,-8.134972,3.7682753
carrot,unknown,5.6267543,-7.8569107,-3.6522791,-18.457909
cat,animals,-1.7231761,5.1337733,-2.822344,5.5245657
cereal,food_drink,-13.428498,-7.2096205,-14.341427,-7.4200764
chair,furniture_rooms,2.4686716,14.392686,3.0281546,15.242721
chalk,toys,2.7197664,10.289993,-11.311707,-16.08124
cheese,food_drink,-6.641513,-16.742065,-7.3163767,-19.951801
chips,unknown,-11.429553,-10.570537,-14.865889,-8.5963125
clock,household,8.644371,-3.0049136,9.050236,-2.353453
closet,furniture_rooms,10.889009,17.094135,11.246566,18.321589
cloud,outside,19.221796,7.8784823,19.61913,8.177882
coat,clothing,10.104278,10.1984825,5.757677,23.521887
coffee,food_drink,-1.027097,-9.821747,-12.389393,-22.88562
comb,household,0.47976807,2.3979068,0.9744596,2.1448073
cookie,food_drink,-8.764205,-10.706451,-14.026892,-13.229062
corn,food_drink,-7.1687946,-13.531421,-7.9253507,-13.962008
couch,furniture_rooms,7.8706927,13.030967,8.216029,13.734407
cow,animals,-8.315107,5.454799,-8.870668,5.513854
cracker,food_drink,-10.712985,-12.156897,-12.861293,-13.050228
crayon,toys,6.8251724,-6.2099366,-21.394398,14.32045
crib,furniture_rooms,5.721625,12.591184,5.1095123,12.677863
cup,household,1.649765,-9.934862,-11.749032,-23.798815
deer,animals,-13.7290325,10.315827,-13.747192,11.293475
diaper,clothing,6.5407825,2.0789316,7.239274,-9.207199
dish,household,-2.6183517,-10.383469,-10.88257,-24.09745
dog,animals,-4.0928736,4.443433,-10.864486,5.3004603
doll,toys,2.740965,2.465619,4.3587995,18.153952
door,furniture_rooms,10.75136,16.667076,-5.2474055,11.834272
drawer,furniture_rooms,16.957327,13.938948,17.578903,13.5987015
dress,clothing,10.466277,8.872357,3.426927,19.218477
drink,food_drink,1.7727662,-12.26541,14.169935,-23.545471
dryer,furniture_rooms,13.820765,16.030336,14.299005,15.144845
duck,animals,-5.981097,0.6994652,-6.7518396,0.051306836
ear,body_parts,15.799442,-5.839605,16.520258,-5.4771233
egg,food_drink,9.403518,-16.893623,12.038541,-16.098406
elephant,animals,-0.791311,5.7674217,-12.807832,7.3187857
eye,body_parts,14.259795,-6.974076,1.4337145,21.585121
face,body_parts,13.821364,10.6459255,-3.1479344,9.205168
finger,body_parts,14.580839,-1.7593826,12.975298,1.5645139
firetruck,vehicles,-10.95702,-0.75621814,-13.32168,-2.6189451
fish,animals,5.8786287,-4.849242,-11.031751,1.4986401
flag,outside,5.268105,-3.9228907,-3.0144684,-3.4328585
flower,outside,5.7440796,-2.1569414,-13.186593,1.9952295
foot,body_parts,17.39803,0.29633036,20.301113,3.1429985
fork,household,-0.858723,-5.819188,-3.5363743,-23.265402
frog,animals,-3.5086863,2.0546706,-9.083346,1.5308006
game,toys,1.8851562,7.948277,1.5771191,9.630078
giraffe,animals,-16.528545,10.113926,-16.977116,10.645173
