category,images,embeddings,diff
airplane,12,5,-7
alligator,14,14,0
ankle,12,12,0
ant,12,12,0
apple,12,11,-1
applesauce,16,15,-1
arm,13,5,-8
ball,16,13,-3
balloon,20,18,-2
banana,13,13,0
basket,12,12,0
bathtub,24,24,0
bear,21,21,0
bed,22,21,-1
bee,27,26,-1
belt,14,12,-2
bench,16,16,0
bib,15,14,-1
bird,23,23,0
blanket,12,11,-1
boat,15,14,-1
book,13,11,-2
bottle,12,11,-1
bowl,12,11,-1
box,12,11,-1
bread,22,21,-1
broom,12,12,0
brush,13,13,0
bucket,12,12,0
bug,17,17,0
bus,12,12,0
butter,16,16,0
butterfly,16,16,0
cake,15,15,0
can,12,11,-1
candy,13,12,-1
car,12,1,-11
carrot,12,12,0
cat,12,12,0
cereal,12,12,0
chair,12,9,-3
chalk,13,13,0
cheese,15,15,0
chips,12,12,0
clock,12,12,0
closet,13,10,-3
cloud,12,12,0
coat,12,12,0
coffee,15,15,0
comb,12,12,0
cookie,15,12,-3
corn,17,17,0
couch,22,21,-1
cow,16,14,-2
cracker,15,12,-3
crayon,17,17,0
crib,17,17,0
cup,15,14,-1
deer,14,14,0
diaper,12,12,0
dish,21,8,-13
dog,12,9,-3
doll,15,15,0
door,14,10,-4
drawer,13,13,0
dress,13,13,0
drink,15,14,-1
dryer,12,12,0
duck,13,12,-1
ear,12,12,0
egg,15,15,0
elephant,12,12,0
eye,21,19,-2
face,12,3,-9
finger,12,10,-2
firetruck,12,12,0
fish,13,12,-1
flag,14,13,-1
flower,19,16,-3
foot,14,14,0
fork,12,12,0
frog,15,15,0
game,12,6,-6
giraffe,24,24,0
glass,12,12,0
glasses,17,17,0
glove,16,16,0
glue,12,11,-1
grass,15,15,0
gum,12,10,-2
hair,12,10,-2
hamburger,12,11,-1
hammer,12,11,-1
hand,14,9,-5
hat,17,17,0
helicopter,25,25,0
horse,17,16,-1
hose,12,12,0
ice,14,14,0
jacket,16,16,0
jar,14,14,0
jeans,17,14,-3
juice,13,13,0
knife,15,14,-1
ladder,15,14,-1
lamp,13,13,0
leg,16,9,-7
lollipop,12,11,-1
meat,13,13,0
melon,15,14,-1
milk,21,21,0
mitten,12,12,0
money,16,13,-3
mop,13,12,-1
motorcycle,15,10,-5
mouth,12,10,-2
muffin,13,13,0
nail,13,13,0
napkin,13,13,0
necklace,15,15,0
nose,13,12,-1
nut,12,9,-3
orange,13,13,0
oven,15,15,0
owl,27,27,0
pajamas,13,13,0
pancake,12,12,0
pants,13,11,-2
paper,14,13,-1
pasta,12,12,0
pastry,13,13,0
pen,12,12,0
pencil,12,12,0
penguin,24,24,0
pickle,16,16,0
pig,12,12,0
pillow,13,12,-1
pizza,15,15,0
plant,12,9,-3
plate,13,13,0
pony,13,13,0
popcorn,15,15,0
popsicle,12,10,-2
potato,14,14,0
pretzel,13,13,0
pudding,12,12,0
pumpkin,21,21,0
purse,12,11,-1
radio,15,15,0
raisin,14,14,0
refrigerator,12,12,0
rock,13,12,-1
rooster,14,14,0
sandbox,14,14,0
sandwich,15,15,0
sauce,12,11,-1
scarf,16,16,0
scissors,14,14,0
sheep,12,12,0
shirt,12,12,0
shoe,18,10,-8
shorts,14,14,0
shovel,12,11,-1
shower,13,13,0
sink,15,15,0
sled,12,10,-2
slide,16,16,0
slipper,12,12,0
snow,12,11,-1
snowman,12,12,0
snowsuit,12,12,0
soap,12,11,-1
sock,13,11,-2
soda,12,7,-5
soup,12,12,0
spoon,13,13,0
sprinkler,15,15,0
squirrel,14,14,0
stick,13,12,-1
strawberry,15,15,0
stroller,16,16,0
sweater,20,19,-1
swing,13,13,0
table,12,12,0
tape,13,9,-4
tiger,13,13,0
toast,13,13,0
toe,14,12,-2
tooth,15,13,-2
toothbrush,12,12,0
towel,16,16,0
toy,12,9,-3
tractor,12,11,-1
train,12,11,-1
tray,12,12,0
tree,12,10,-2
tricycle,14,14,0
truck,12,7,-5
turkey,15,15,0
vacuum,13,13,0
watch,15,15,0
window,14,13,-1
wolf,13,13,0
yogurt,13,13,0
zebra,20,20,0
