"","target","min_distance","cleaned_target","object","source","log_prop","in_cdi","num_direct_children","direct_parent","path_1","path_2","path_3","path_4","path_5","path_6"
"56","bean.n.01",3,"bean","bean","vqa_yoloe",-10.1253069049206,FALSE,0,"vegetable.n.01","food","vegetable","bean",NA,NA,NA
"57","bear.n.01",3,"bear","bear","vqa_yoloe",-8.65855195060346,TRUE,0,"animal.n.01","object","animal","bear",NA,NA,NA
"58","bed.n.01",3,"bed","bed","vqa_yoloe",-2.70690602686007,TRUE,1,"furniture.n.01","object","furniture","bed",NA,NA,NA
"59","bedroom.n.01",3,"bedroom","bedroom","vqa_yoloe",-8.71308857316711,TRUE,0,"room.n.01","object","room","bedroom",NA,NA,NA
"60","bedspread.n.01",2,"bedspread","bedspread","vqa",-10.903770107131,FALSE,0,"object.n.01","object","bedspread",NA,NA,NA,NA
"61","bee.n.01",3,"bee","bee","vqa_yoloe",-9.3660738378064,TRUE,0,"animal.n.01","object","animal","bee",NA,NA,NA
"62","belt.n.01",1,"belt","belt","vqa_yoloe",-8.24817350508023,TRUE,0,"entity.n.01","belt",NA,NA,NA,NA,NA
"63","bench.n.01",4,"bench","bench","vqa_yoloe",-4.89542299749973,TRUE,0,"seat.n.03","object","furniture","seat","bench",NA,NA
"64","beverage.n.01",1,"beverage","drink","vqa_yoloe",-8.0489318123751,TRUE,4,"entity.n.01","beverage",NA,NA,NA,NA,NA
"65","bib.n.01",3,"bib","bib","yoloe",-5.03799180800514,TRUE,0,"fabric.n.01","object","fabric","bib",NA,NA,NA
"66","bicycle.n.01",3,"bicycle","bicycle","vqa_yoloe",-5.52835147807371,TRUE,0,"container.n.01","object","container","bicycle",NA,NA,NA
"67","bin.n.01",3,"bin","bin","vqa",-8.2296214577045,FALSE,2,"container.n.01","object","container","bin",NA,NA,NA
"68","bird_feeder.n.01",3,"bird feeder","bird feeder","vqa",-9.51747574601114,FALSE,0,"device.n.01","object","device","bird feeder",NA,NA,NA
"69","birdcage.n.01",4,"birdcage","birdcage","vqa",-7.48604342351766,FALSE,0,"cage.n.01","object","enclosure","cage","birdcage",NA,NA
